Country of Asylum ISO,Country of Origin ISO,Year,Refugees,Asylum Seekers,Country of Origin,Country of Asylum,Origin Latitude,Origin Longitude,Asylum Latitude,Asylum Longitude
ET,SD,2018,44003,437,Sudan,Ethiopia,12.862807,30.217636,9.145,40.489673
FI,SD,2017,38,7,Sudan,Finland,12.862807,30.217636,61.92411,25.748151
FI,SD,2019,46,19,Sudan,Finland,12.862807,30.217636,61.92411,25.748151
FI,SD,2020,50,11,Sudan,Finland,12.862807,30.217636,61.92411,25.748151
FI,SD,2018,39,0,Sudan,Finland,12.862807,30.217636,61.92411,25.748151
FI,SD,2021,50,15,Sudan,Finland,12.862807,30.217636,61.92411,25.748151
FI,SD,2016,29,8,Sudan,Finland,12.862807,30.217636,61.92411,25.748151
FR,SD,2021,21070,1326,Sudan,France,12.862807,30.217636,46.227638,2.213749
FR,SD,2020,20236,1973,Sudan,France,12.862807,30.217636,46.227638,2.213749
FR,SD,2019,18473,2682,Sudan,France,12.862807,30.217636,46.227638,2.213749
FR,SD,2016,7049,5002,Sudan,France,12.862807,30.217636,46.227638,2.213749
FR,SD,2017,11337,3832,Sudan,France,12.862807,30.217636,46.227638,2.213749
FR,SD,2018,14700,3949,Sudan,France,12.862807,30.217636,46.227638,2.213749
GA,SD,2018,5,0,Sudan,Gabon,12.862807,30.217636,-0.803689,11.609444
GA,SD,2017,5,0,Sudan,Gabon,12.862807,30.217636,-0.803689,11.609444
GB,SD,2019,10575,1523,Sudan,United Kingdom,12.862807,30.217636,55.378051,-3.435973
GB,SD,2017,8132,1415,Sudan,United Kingdom,12.862807,30.217636,55.378051,-3.435973
GB,SD,2018,8959,1705,Sudan,United Kingdom,12.862807,30.217636,55.378051,-3.435973
GB,SD,2021,11251,2590,Sudan,United Kingdom,12.862807,30.217636,55.378051,-3.435973
GB,SD,2020,10994,2280,Sudan,United Kingdom,12.862807,30.217636,55.378051,-3.435973
GB,SD,2016,7326,1063,Sudan,United Kingdom,12.862807,30.217636,55.378051,-3.435973
GE,SD,2020,6,7,Sudan,Georgia,12.862807,30.217636,42.315407,43.356892
GE,SD,2019,6,6,Sudan,Georgia,12.862807,30.217636,42.315407,43.356892
GE,SD,2018,6,6,Sudan,Georgia,12.862807,30.217636,42.315407,43.356892
GE,SD,2021,6,7,Sudan,Georgia,12.862807,30.217636,42.315407,43.356892
GE,SD,2017,6,5,Sudan,Georgia,12.862807,30.217636,42.315407,43.356892
GH,SD,2019,485,190,Sudan,Ghana,12.862807,30.217636,7.946527,-1.023194
GH,SD,2016,288,237,Sudan,Ghana,12.862807,30.217636,7.946527,-1.023194
GH,SD,2018,413,229,Sudan,Ghana,12.862807,30.217636,7.946527,-1.023194
GH,SD,2020,588,96,Sudan,Ghana,12.862807,30.217636,7.946527,-1.023194
GH,SD,2017,299,303,Sudan,Ghana,12.862807,30.217636,7.946527,-1.023194
GH,SD,2021,582,100,Sudan,Ghana,12.862807,30.217636,7.946527,-1.023194
GR,SD,2019,465,114,Sudan,Greece,12.862807,30.217636,39.074208,21.824312
GR,SD,2016,372,53,Sudan,Greece,12.862807,30.217636,39.074208,21.824312
GR,SD,2020,519,77,Sudan,Greece,12.862807,30.217636,39.074208,21.824312
GR,SD,2021,531,45,Sudan,Greece,12.862807,30.217636,39.074208,21.824312
