Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern
2021,Uganda,UGA,Luxembourg,LUX,5,0,0,,0,0
2021,Uganda,UGA,Mexico,MEX,0,43,0,,0,0
2021,Uganda,UGA,Malaysia,MYS,0,6,0,,0,0
2021,Uganda,UGA,Malawi,MWI,5,9,0,,0,0
2021,Uganda,UGA,Mozambique,MOZ,5,36,0,,0,0
2021,Uganda,UGA,Malta,MLT,0,5,0,,0,0
2021,Uganda,UGA,Namibia,NAM,5,8,0,,0,0
2021,Uganda,UGA,Netherlands,NLD,480,122,0,,0,0
2021,Uganda,UGA,Norway,NOR,114,5,0,,0,0
2021,Uganda,UGA,New Zealand,NZL,5,5,0,,0,0
2021,Uganda,UGA,Portugal,PRT,5,0,0,,0,0
2021,Uganda,UGA,Romania,ROU,5,0,0,,0,0
2021,Uganda,UGA,South Africa,ZAF,459,4061,0,,0,0
2021,Uganda,UGA,Spain,ESP,7,5,0,,0,0
2021,Uganda,UGA,Sudan,SDN,5,0,0,,0,0
2021,Uganda,UGA,Slovakia,SVK,5,0,0,,0,0
2021,Uganda,UGA,Eswatini,SWZ,6,0,0,,0,0
2021,Uganda,UGA,Sweden,SWE,765,93,0,,0,0
2021,Uganda,UGA,Switzerland,CHE,53,23,0,,0,0
2021,Uganda,UGA,United Rep. of Tanzania,TZA,15,5,0,,0,7
2021,Uganda,UGA,Uganda,UGA,0,0,0,,0,2509400
2021,Uganda,UGA,United States of America,USA,1779,3598,0,,0,0
2021,Uganda,UGA,Zambia,ZMB,166,29,0,,0,0
2021,Uganda,UGA,Zimbabwe,ZWE,11,0,0,,0,0
2021,Unknown ,,Egypt,EGY,0,6,0,,0,0
2021,Unknown ,,Argentina,ARG,642,39,0,,0,0
2021,Unknown ,,Australia,AUS,1191,870,0,,0,0
2021,Unknown ,,Austria,AUT,4767,358,0,,0,0
2021,Unknown ,,Belgium,BEL,6998,1246,0,,0,0
2021,Unknown ,,Brazil,BRA,0,37,0,,0,0
2021,Unknown ,,Bosnia and Herzegovina,BIH,0,0,0,,0,5
2021,Unknown ,,Belize,BLZ,0,0,0,,0,3500
2021,Unknown ,,Canada,CAN,4356,608,0,,0,0
2021,Unknown ,,Chile,CHL,433,20,0,,0,1881
2021,Unknown ,,Colombia,COL,5,129,0,,0,0
2021,Unknown ,,Costa Rica,CRI,0,0,0,,0,53
2021,Unknown ,,Cyprus,CYP,5,226,0,,0,0
2021,Unknown ,,Czechia,CZE,0,764,0,,0,1436
2021,Unknown ,,Ecuador,ECU,26,0,0,,0,0
2021,Unknown ,,Finland,FIN,136,78,0,,0,0
2021,Unknown ,,France,FRA,100932,804,0,,0,0
2021,Unknown ,,United Kingdom of Great Britain and Northern Ireland,GBR,1769,7246,0,,0,0
2021,Unknown ,,Georgia,GEO,16,31,0,,0,0
2021,Unknown ,,Germany,DEU,36050,6385,0,,0,0
2021,Unknown ,,Greece,GRC,11056,5,0,,0,0
2021,Unknown ,,Guatemala,GTM,0,0,0,,0,201
2021,Unknown ,,Honduras,HND,0,0,0,,0,461
2021,Unknown ,,Croatia,HRV,7,0,0,,0,5
2021,Unknown ,,Hungary,HUN,944,0,0,,0,0
2021,Unknown ,,Iceland,ISL,12,0,0,,0,0
2021,Unknown ,,Ireland,IRL,0,464,0,,0,0
2021,Unknown ,,Israel,ISR,209,46,0,,0,0
2021,Unknown ,,Italy,ITA,2342,435,0,,0,0
2021,Unknown ,,Japan,JPN,327,23765,0,,0,0
2021,Unknown ,,Luxembourg,LUX,0,25,0,,0,5
2021,Unknown ,,Monaco,MCO,22,0,0,,0,0
2021,Unknown ,,Montenegro,MNE,0,0,0,,0,908
2021,Unknown ,,Malta,MLT,626,0,0,,0,0
2021,Unknown ,,Netherlands,NLD,3019,270,0,,0,0
2021,Unknown ,,Nicaragua,NIC,0,0,0,,0,5
2021,Unknown ,,Norway,NOR,28,0,0,,0,0
2021,Unknown ,,New Zealand,NZL,627,68,0,,0,0
2021,Unknown ,,Peru,PER,15,5,0,,0,0
2021,Unknown ,,Philippines,PHL,0,5,0,,0,0
2021,Unknown ,,South Africa,ZAF,5,0,0,,0,0
2021,Unknown ,,Russian Federation,RUS,0,5,0,,0,0
2021,Unknown ,,Saudi Arabia,SAU,0,25,0,,0,0
2021,Unknown ,,Spain,ESP,32,55,0,,0,0
2021,Unknown ,,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,5,0,,0,620
2021,Unknown ,,Sudan,SDN,106,47,0,,0,140
2021,Unknown ,,Sweden,SWE,556,274,0,,0,0
2021,Unknown ,,Switzerland,CHE,1716,58,0,,0,60
2021,Unknown ,,Syrian Arab Rep.,SYR,5,0,0,,0,0
2018,Zimbabwe,ZWE,Turkey,TUR,6,59,0,,0,0
2021,Unknown ,,United States of America,USA,6369,4160,0,,0,0
2021,Unknown ,,Zambia,ZMB,71,0,0,,0,0
2021,Ukraine,UKR,Argentina,ARG,120,84,0,,0,0
2021,Ukraine,UKR,Armenia,ARM,117,5,0,,0,0
2021,Ukraine,UKR,Australia,AUS,21,99,0,,0,0
2021,Ukraine,UKR,Austria,AUT,244,133,0,,0,0
2021,Ukraine,UKR,Azerbaijan,AZE,5,0,0,,0,0
2021,Ukraine,UKR,Belgium,BEL,254,91,0,,0,0
2021,Ukraine,UKR,Belarus,BLR,2490,51,0,,0,0
2021,Ukraine,UKR,Bolivia (Plurinational State of),BOL,5,0,0,,0,0
2021,Ukraine,UKR,Brazil,BRA,20,82,0,,0,0
2021,Ukraine,UKR,Bulgaria,BGR,0,34,0,,0,0
2021,Ukraine,UKR,Canada,CAN,1273,238,0,,0,0
2021,Ukraine,UKR,Costa Rica,CRI,13,0,0,,0,0
2021,Ukraine,UKR,Cyprus,CYP,30,76,0,,0,0
2021,Ukraine,UKR,Czechia,CZE,289,57,0,,0,0
2021,Ukraine,UKR,Denmark,DNK,29,15,0,,0,0
2021,Ukraine,UKR,Ecuador,ECU,15,0,0,,0,0
2021,Ukraine,UKR,Estonia,EST,27,0,0,,0,0
2021,Ukraine,UKR,Finland,FIN,11,42,0,,0,0
2021,Ukraine,UKR,France,FRA,1996,2022,0,,0,0
2021,Ukraine,UKR,United Kingdom of Great Britain and Northern Ireland,GBR,219,244,0,,0,0
2021,Ukraine,UKR,Georgia,GEO,493,11,0,,0,0
2021,Ukraine,UKR,Germany,DEU,900,1299,0,,0,0
2021,Ukraine,UKR,Greece,GRC,161,71,0,,0,0
2021,Ukraine,UKR,Croatia,HRV,8,0,0,,0,0
2021,Ukraine,UKR,Hungary,HUN,14,0,0,,0,0
2021,Ukraine,UKR,Iceland,ISL,19,0,0,,0,0
2021,Ukraine,UKR,India,IND,0,5,0,,0,0
2021,Ukraine,UKR,Ireland,IRL,85,16,0,,0,0
2021,Ukraine,UKR,Israel,ISR,27,999,0,,0,0
2021,Ukraine,UKR,Italy,ITA,3134,798,0,,0,0
2021,Ukraine,UKR,Jordan,JOR,0,9,0,,0,0
2021,Ukraine,UKR,Kyrgyzstan,KGZ,18,0,0,,0,0
2021,Ukraine,UKR,Rep. of Korea,KOR,14,22,0,,0,0
2021,Ukraine,UKR,Kuwait,KWT,0,5,0,,0,0
2021,Ukraine,UKR,Lebanon,LBN,0,0,0,,0,5
2021,Ukraine,UKR,Liechtenstein,LIE,5,5,0,,0,0
2021,Ukraine,UKR,Lithuania,LTU,64,0,0,,0,0
2021,Ukraine,UKR,Luxembourg,LUX,5,15,0,,0,0
2021,Ukraine,UKR,Rep. of Moldova,MDA,30,6,0,,0,0
2021,Ukraine,UKR,Mexico,MEX,19,5,0,,0,0
2021,Ukraine,UKR,Malta,MLT,141,38,0,,0,0
2021,Ukraine,UKR,Netherlands,NLD,26,18,0,,0,0
2021,Ukraine,UKR,Norway,NOR,13,6,0,,0,0
2021,Ukraine,UKR,Panama,PAN,0,5,0,,0,0
